time,x
0.000000,0.968987
0.050251,0.996375
0.100503,0.959019
0.150754,0.965690
0.201005,0.904990
0.251256,0.913334
0.301508,0.818073
0.351759,0.771855
0.402010,0.733034
0.452261,0.625315
0.502513,0.583174
0.552764,0.529826
0.603015,0.393810
0.653266,0.350002
0.703518,0.270780
0.753769,0.200249
0.804020,0.079473
0.854271,-0.001245
0.904523,-0.041348
0.954774,-0.119998
1.005025,-0.191624
1.055276,-0.256346
1.105528,-0.338920
1.155779,-0.377642
1.206030,-0.427901
1.256281,-0.493684
1.306533,-0.481594
1.356784,-0.542613
1.407035,-0.602622
1.457286,-0.585824
1.507538,-0.632054
1.557789,-0.603931
1.608040,-0.597240
1.658291,-0.631376
1.708543,-0.584293
1.758794,-0.578241
1.809045,-0.547668
1.859296,-0.498842
1.909548,-0.509830
1.959799,-0.484068
2.010050,-0.447259
2.060302,-0.403165
2.110553,-0.343190
2.160804,-0.287571
2.211055,-0.240082
2.261307,-0.179302
2.311558,-0.145346
2.361809,-0.066340
2.412060,-0.051052
2.462312,0.057278
2.512563,0.062548
2.562814,0.078153
2.613065,0.116848
2.663317,0.188235
2.713568,0.211462
2.763819,0.264302
2.814070,0.290079
2.864322,0.306051
2.914573,0.313610
2.964824,0.319316
3.015075,0.355708
3.065327,0.392721
3.115578,0.386770
3.165829,0.360460
3.216080,0.387809
3.266332,0.387232
3.316583,0.353398
3.366834,0.362262
3.417085,0.345246
3.467337,0.303144
3.517588,0.312377
3.567839,0.293238
3.618090,0.278369
3.668342,0.250670
3.718593,0.173449
3.768844,0.152506
3.819095,0.151003
3.869347,0.119927
3.919598,0.088733
3.969849,0.124416
4.020101,0.028159
4.070352,0.009576
4.120603,-0.022913
4.170854,-0.056549
4.221106,-0.101955
4.271357,-0.104818
4.321608,-0.157886
4.371859,-0.167515
4.422111,-0.190612
4.472362,-0.195057
4.522613,-0.163767
4.572864,-0.258285
4.623116,-0.215575
4.673367,-0.267387
4.723618,-0.247893
4.773869,-0.217528
4.824121,-0.236469
4.874372,-0.255440
4.924623,-0.242111
4.974874,-0.206049
5.025126,-0.224143
5.075377,-0.193318
5.125628,-0.183236
5.175879,-0.182250
5.226131,-0.110170
5.276382,-0.123161
5.326633,-0.158293
5.376884,-0.095376
5.427136,-0.093226
5.477387,-0.043600
5.527638,-0.057128
5.577889,-0.024367
5.628141,0.006882
5.678392,0.032424
5.728643,0.008735
5.778894,0.042834
5.829146,0.055817
5.879397,0.066923
5.929648,0.128742
5.979899,0.113647
6.030151,0.091035
6.080402,0.143842
6.130653,0.175638
6.180905,0.160001
6.231156,0.113553
6.281407,0.137277
6.331658,0.173770
6.381910,0.134230
6.432161,0.155737
6.482412,0.159416
6.532663,0.121104
6.582915,0.132910
6.633166,0.062564
6.683417,0.099124
6.733668,0.105825
6.783920,0.076342
6.834171,0.123644
6.884422,0.051493
6.934673,0.059923
6.984925,0.059621
7.035176,0.073895
7.085427,0.004322
7.135678,0.044301
7.185930,0.009388
7.236181,-0.022040
7.286432,-0.004393
7.336683,-0.020410
7.386935,-0.046589
7.437186,-0.042736
7.487437,-0.060664
7.537688,-0.058724
7.587940,-0.054943
7.638191,-0.042765
7.688442,-0.104614
7.738693,-0.041616
7.788945,-0.126769
7.839196,-0.093238
7.889447,-0.079941
7.939698,-0.086636
7.989950,-0.104325
8.040201,-0.094746
8.090452,-0.098295
8.140704,-0.097257
8.190955,-0.064752
8.241206,-0.070175
8.291457,-0.086109
8.341709,-0.048625
8.391960,-0.054343
8.442211,-0.037684
8.492462,-0.034460
8.542714,-0.056480
8.592965,-0.043767
8.643216,-0.010175
8.693467,-0.005442
8.743719,-0.010643
8.793970,-0.000572
8.844221,0.029752
8.894472,-0.000768
8.944724,0.028557
8.994975,0.019752
9.045226,0.025203
9.095477,0.056829
9.145729,0.056154
9.195980,0.060171
9.246231,0.073704
9.296482,0.051124
9.346734,0.066857
9.396985,0.048923
9.447236,0.062916
9.497487,0.054536
9.547739,0.059195
9.597990,0.068702
9.648241,0.039427
9.698492,0.096107
9.748744,0.032112
9.798995,0.025464
9.849246,0.070004
9.899497,0.059390
9.949749,0.052418
10.000000,0.048592
