time,x
0.000000,2.049671
0.204082,2.112449
0.408163,2.325292
0.612245,2.555550
0.816327,2.531567
1.020408,2.692884
1.224490,3.045719
1.428571,3.146869
1.632653,3.217019
1.836735,3.524301
2.040816,3.642793
2.244898,3.875485
2.448980,4.193884
2.653061,4.241623
2.857143,4.540345
3.061224,4.954165
3.265306,5.225455
3.469388,5.694480
3.673469,5.929804
3.877551,6.259502
4.081633,6.951424
4.285714,7.211924
4.489796,7.698023
4.693878,8.034403
4.897959,8.638708
5.102041,9.253103
5.306122,9.710429
5.510204,10.483458
5.714286,11.045352
5.918367,11.777415
6.122449,12.491853
6.326531,13.529755
6.530612,14.185718
6.734694,14.977034
6.938776,16.117351
7.142857,16.925429
7.346939,18.144737
7.551020,19.072180
7.755102,20.351872
7.959184,21.797730
8.163265,23.226902
8.367347,24.632020
8.571429,26.157442
8.775510,27.791143
8.979592,29.429967
9.183673,31.373306
9.387755,33.384605
9.591837,35.647112
9.795918,37.819758
10.000000,39.994770
