time,x
0.000000,-0.000612
0.101010,0.201392
0.202020,0.484171
0.303030,0.669118
0.404040,0.963364
0.505051,1.108464
0.606061,1.265842
0.707071,1.472925
0.808081,1.682561
0.909091,1.798132
1.010101,1.941513
1.111111,2.143417
1.212121,2.284771
1.313131,2.381506
1.414141,2.511016
1.515152,2.667595
1.616162,2.699033
1.717172,2.810822
1.818182,2.949626
1.919192,3.074090
2.020202,3.194634
2.121212,3.342538
2.222222,3.396918
2.323232,3.427103
2.424242,3.511222
2.525253,3.535323
2.626263,3.654192
2.727273,3.706921
2.828283,3.800465
2.929293,3.802840
3.030303,3.927093
3.131313,4.031883
3.232323,4.001263
3.333333,4.075708
3.434343,4.136641
3.535354,4.126293
3.636364,4.199602
3.737374,4.228999
3.838384,4.271256
3.939394,4.263854
4.040404,4.338082
4.141414,4.394417
4.242424,4.473126
4.343434,4.478055
4.444444,4.565819
4.545455,4.446479
4.646465,4.553834
4.747475,4.543507
4.848485,4.666764
4.949495,4.538664
5.050505,4.557823
5.151515,4.589550
5.252525,4.532063
5.353535,4.629787
5.454545,4.635056
5.555556,4.696637
5.656566,4.721516
5.757576,4.812794
5.858586,4.780347
5.959596,4.717139
6.060606,4.713574
6.161616,4.794985
6.262626,4.715686
6.363636,4.884022
6.464646,4.861643
6.565657,4.788931
6.666667,4.735973
6.767677,4.898109
6.868687,4.833040
6.969697,4.908599
7.070707,4.774536
7.171717,4.831467
7.272727,4.868522
7.373737,4.877097
7.474747,4.858414
7.575758,4.917925
7.676768,4.838977
7.777778,4.890541
7.878788,4.908715
7.979798,4.933214
8.080808,4.947629
8.181818,4.860148
8.282828,4.843793
8.383838,4.988298
8.484848,4.944752
8.585859,4.894251
8.686869,5.012598
8.787879,4.944024
8.888889,5.000247
8.989899,4.947550
9.090909,5.049961
9.191919,5.037304
9.292929,4.939574
9.393939,5.002964
9.494949,4.988901
9.595960,5.027200
9.696970,4.912553
9.797980,4.997032
9.898990,5.017486
10.000000,4.878373
