time,x
0.000000,0.940837
0.084746,1.022501
0.169492,1.230292
0.254237,1.393990
0.338983,1.542836
0.423729,1.576482
0.508475,1.754907
0.593220,1.700994
0.677966,1.777347
0.762712,1.948418
0.847458,2.055399
0.932203,2.116035
1.016949,2.092391
1.101695,2.266161
1.186441,2.277141
1.271186,2.444620
1.355932,2.495385
1.440678,2.493244
1.525424,2.575107
1.610169,2.605889
1.694915,2.711357
1.779661,2.815581
1.864407,2.769658
1.949153,2.893146
2.033898,2.888397
2.118644,2.920284
2.203390,2.997726
2.288136,2.992676
2.372881,3.056399
2.457627,3.062187
2.542373,3.256740
2.627119,3.195179
2.711864,3.191893
2.796610,3.269653
2.881356,3.284082
2.966102,3.308119
3.050847,3.378122
3.135593,3.412363
3.220339,3.373914
3.305085,3.396522
3.389831,3.435403
3.474576,3.356913
3.559322,3.418154
3.644068,3.583254
3.728814,3.617284
3.813559,3.541874
3.898305,3.601644
3.983051,3.606101
4.067797,3.761470
4.152542,3.679788
4.237288,3.633021
4.322034,3.606599
4.406780,3.588393
4.491525,3.692633
4.576271,3.657816
4.661017,3.637148
4.745763,3.688036
4.830508,3.677889
4.915254,3.827443
5.000000,3.797827
